setting,horizon,effective_time,model,train_rows,test_rows,RMSE_state,MAE_state,R2_mean,RMSE_x,MAE_x,R2_x,RMSE_y,MAE_y,R2_y,RMSE_z,MAE_z,R2_z
same_trajectory,1,0.005000500050005001,Persistence,7999,2000,0.5793794254464011,0.5042714806038893,0.9985234987811896,0.2238707017167063,0.18429970806285567,0.9991870529709772,0.34024693257315375,0.2433542725895483,0.9985747220646319,0.4120612241136396,0.3317046962162738,0.9978087213079596
same_trajectory,1,0.005000500050005001,Linear Regression,7999,2000,0.47359344497636596,0.40622370881634434,0.999045910909501,0.005700875700563777,0.004616305391166151,0.9999994728297774,0.2336267561821908,0.18925047497014374,0.9993280201001165,0.4119184263135312,0.3335004290377434,0.9978102397986094
same_trajectory,1,0.005000500050005001,Random Forest,7999,2000,0.3340585779293631,0.24088664384999883,0.9995090416717973,0.12699119466307274,0.07724590030948202,0.9997384137302808,0.18702527022990995,0.12448550304760878,0.9995693626378639,0.2459469826236197,0.14254334512819672,0.9992193486472473
same_trajectory,1,0.005000500050005001,MLP,7999,2000,0.21830888608793628,0.19605968886951317,0.9997792846656521,0.13027924485394765,0.10200342624895622,0.9997246924051922,0.12432068409116308,0.09793044433233108,0.9998097179125279,0.123411732069305,0.09567112724734338,0.9998034436792361
same_trajectory,5,0.025002500250025005,Persistence,7996,1999,2.8842355341814687,2.513844273473827,0.9634086593191916,1.1160941436025118,0.919469300129418,0.9797963445699343,1.6924952723200468,1.2135656705097937,0.9647507908501024,2.0514892718280366,1.6533607620948487,0.9456788425375384
same_trajectory,5,0.025002500250025005,Linear Regression,7996,1999,2.398169927897228,2.086596885934756,0.9755517382474617,0.14092631482012616,0.1143796144704558,0.9996778838606561,1.2583250257586935,1.0221070551127724,0.9805159104405958,2.036658269423518,1.663613202305089,0.9464614204411329
same_trajectory,5,0.025002500250025005,Random Forest,7996,1999,0.3023245645367679,0.21607825113119317,0.9995988792340667,0.11235080583834522,0.07000758641515924,0.9997952703811065,0.17371364720998883,0.11702536251975013,0.9996286680430143,0.22045636194681328,0.12703109573579907,0.9993726992780794
same_trajectory,5,0.025002500250025005,MLP,7996,1999,0.3442724233984641,0.30735116493822795,0.9994657292883229,0.1753778443706701,0.13569336093276013,0.9995011410710992,0.2189813667167497,0.16623736142165263,0.9994099228830778,0.19953263955406572,0.16280256428122392,0.9994861239107914
same_trajectory,10,0.05000500050005001,Persistence,7992,1998,5.6886743600684655,4.979321342116808,0.8576210128417959,2.210355500225556,1.8253715833291393,0.920768680273013,3.3295733525021776,2.404215624646679,0.8636502085981644,4.0483682920196875,3.2751269021395437,0.7884441496542104
same_trajectory,10,0.05000500050005001,Linear Regression,7992,1998,4.77914245266894,4.2254448878585125,0.9028253020184304,0.5457306361593458,0.44367033959690166,0.9951701982743737,2.6532015172245895,2.1552033019266896,0.9134199608994669,3.9373725204324703,3.25593617071982,0.7998857468814504
same_trajectory,10,0.05000500050005001,Random Forest,7992,1998,0.3425237597178848,0.24781418378621495,0.999478150472967,0.15802957951263705,0.08943799503151954,0.9995950052422727,0.2274570822720767,0.14812223565488247,0.9993636790362077,0.20152531775091717,0.13041518771644164,0.9994757671404203
same_trajectory,10,0.05000500050005001,MLP,7992,1998,0.4129907053769328,0.3383973423465836,0.9992531750592374,0.1754720775603457,0.1296554648369575,0.9995006688394784,0.3217544265839925,0.21593974484491812,0.99872671282529,0.19038109595755218,0.15071466954536167,0.9995321435129437
same_trajectory,20,0.10001000100010002,Persistence,7984,1996,10.784016081032416,9.586517246073031,0.4878297400895713,4.248713741122006,3.541110069899851,0.7073612163181376,6.251856583614225,4.624123489433268,0.5197577113507654,7.691405829878325,6.308822977971895,0.23637029259981102
same_trajectory,20,0.10001000100010002,Linear Regression,7984,1996,8.939445415280932,8.093699077358973,0.6578644606285747,1.9384891017082206,1.5770346209523074,0.9390822761442443,5.315628804124667,4.294367300486374,0.652822414419817,6.920985099832674,5.857648126109551,0.3816886913216627
same_trajectory,20,0.10001000100010002,Random Forest,7984,1996,0.4315794892346124,0.2914025481933664,0.9991618297918032,0.22609891010109157,0.12615353042253363,0.9991712684398854,0.3072279955897403,0.19003505760765096,0.998840251121337,0.2018690097687557,0.12995996506348348,0.9994739698141873
same_trajectory,20,0.10001000100010002,MLP,7984,1996,0.3089000968977449,0.2748582460361008,0.9995806508439652,0.12408493128899382,0.09938853929321308,0.9997503939948946,0.1986110211187951,0.15434926302942611,0.9995153267232207,0.20143451040125027,0.15786674600964765,0.9994762318137803
same_trajectory,50,0.25002500250025006,Persistence,7960,1990,20.139071003367118,19.082548841194907,-0.7940821413337885,8.39312728854768,7.31050330962919,-0.14002841414326905,11.109514933610466,9.14630370248535,-0.511917774493579,14.550473295971667,12.625878538337254,-1.7303002353645174
same_trajectory,50,0.25002500250025006,Linear Regression,7960,1990,13.858523419072041,12.748479893908847,0.14663519908142963,6.428309077655449,5.298448693366347,0.33125344740462215,9.018730396910234,7.469477159770349,0.003611313958895135,8.33054714811387,6.995456844137721,0.10504083588077162
same_trajectory,50,0.25002500250025006,Random Forest,7960,1990,0.7231427723240225,0.4158241734583579,0.9976848066407108,0.33236714491491715,0.16916709289356816,0.9982122605262846,0.4997828516714159,0.26091760300747,0.9969401461741446,0.40334185416438856,0.21696107894482777,0.997902013221703
same_trajectory,50,0.25002500250025006,MLP,7960,1990,0.5894959247288616,0.5206283204518037,0.9984463150070724,0.29358460263696123,0.22674793008411204,0.9986051271979126,0.40071343887016425,0.3073403099065983,0.9980329935042633,0.31739922223483846,0.24560767351468643,0.9987008243190412
same_trajectory,100,0.5000500050005001,Persistence,7920,1980,22.286972445350354,20.966056684138994,-1.2173248922841475,10.706055443722757,9.012244977716902,-0.8472415773179616,12.56279052792641,10.654106356702135,-0.9236794457387556,14.975507062105867,13.000102672681152,-1.8810536537957256
same_trajectory,100,0.5000500050005001,Linear Regression,7920,1980,15.450538919493738,13.57342363208691,-0.07931144107771748,8.474867703530027,6.814997658772148,-0.15752551688525873,9.835468743367997,7.35587494343623,-0.17909987395542415,8.376116338058203,7.3864038610755385,0.09869106760753044
same_trajectory,100,0.5000500050005001,Random Forest,7920,1980,3.129167708131428,1.1269275102111012,0.9568823919710573,1.542122658430527,0.4790520738888951,0.9616732004491855,2.5306812180020515,0.7411986837511877,0.9219387769236838,1.004589878915426,0.514532592358532,0.9870351985403029
same_trajectory,100,0.5000500050005001,MLP,7920,1980,2.152870038815614,1.5420926522373888,0.9800299973524843,0.6874358061138014,0.4846797506991842,0.9923839634909597,1.3377450615843012,0.8838034326072116,0.9781874127919115,1.5403634527959387,0.93241659213985,0.9695186157745819
same_trajectory,200,1.0001000100010002,Persistence,7840,1960,22.29714508415716,20.735260916389624,-1.2126207885442033,11.484772491031727,9.759049854575006,-1.1050001629604145,13.188107955027464,10.972274608869807,-1.0985572157243269,13.832443323568546,11.92020484734718,-1.4343049869478688
same_trajectory,200,1.0001000100010002,Linear Regression,7840,1960,15.533948160583087,14.02544496927491,-0.08100184078711758,8.500291425733908,6.973879228914456,-0.15312124017874118,9.625723571382716,7.657116969368645,-0.11795056187974273,8.740368233696135,7.322939421232814,0.028066279697131158
same_trajectory,200,1.0001000100010002,Random Forest,7840,1960,5.589258660946368,2.841629769542335,0.8637425342244827,2.3662645276649377,1.131424188525797,0.9106418996445615,3.2179657679678444,1.5816955223784757,0.8750550616466743,3.9096420399143628,1.7112509048202746,0.8055306413822122
same_trajectory,200,1.0001000100010002,MLP,7840,1960,7.5629599400971275,5.700185143793741,0.7467876904384174,3.6702123390461217,2.278991820474521,0.7850241261923564,4.215646761049337,2.7597916526830693,0.785570637838403,5.094725392784363,3.5736651182473747,0.6697683072844928
same_trajectory,500,2.5002500250025004,Persistence,7600,1900,21.054465536072605,19.280625402175314,-0.9415617822487862,10.5997677002686,8.911018837645663,-0.7432071863268268,12.172534789070367,10.031025900084478,-0.7463591431038301,13.519054719871628,11.336720570825989,-1.3351190173157015
same_trajectory,500,2.5002500250025004,Linear Regression,7600,1900,15.298163796514238,14.03586497051246,-0.029155898309343693,8.225324320615288,6.855633246298348,-0.04969317734742562,9.42434938228026,7.672028209162063,-0.04682544280057277,8.806786819628785,7.632115883670345,0.00905092521996731
same_trajectory,500,2.5002500250025004,Random Forest,7600,1900,10.978895823036908,7.584287646695926,0.47141310763474115,5.94282893330779,3.5779256859697806,0.4520476792136948,7.175800032349461,4.251861121723031,0.39310694323850515,5.807480663615724,3.8167099818752455,0.5690847004520234
same_trajectory,500,2.5002500250025004,MLP,7600,1900,14.0980243235053,12.037218568849907,0.12449495834236239,7.924584990685435,6.320557715364863,0.02566261282289284,9.256719674301747,6.834664748451507,-0.009917127016521032,7.090019987485588,5.512269391392683,0.35773938922071535
