initial_condition,horizon,model,test_rows,RMSE_state,MAE_state,R2_mean,RMSE_x,MAE_x,R2_x,RMSE_y,MAE_y,R2_y,RMSE_z,MAE_z,R2_z
"(1.01, 1.0, 1.0)",10,Persistence,9990,4.982019997112529,4.1248395511463665,0.8765473413836488,1.9136260983878521,1.4906723231107122,0.9399763281056644,2.9414415111839824,2.0349067957042983,0.8864866874505849,3.5364502320097335,2.695615778658367,0.8031790085946968
"(1.01, 1.0, 1.0)",10,Linear Regression,9990,4.234687939750704,3.547055527580854,0.910973364088269,0.49732441627805996,0.3859163549247802,0.9959459607234993,2.417279815182099,1.8767596663513861,0.9233379877761422,3.441221972956256,2.67568843748812,0.8136361437651652
"(1.01, 1.0, 1.0)",10,Random Forest,9990,0.7255563384593785,0.3417565454455278,0.9974314926455569,0.3415482328720217,0.1348585307033434,0.9980878917549448,0.5003896956527611,0.20775868746273796,0.9967149417189252,0.3992329612959288,0.17753219536744,0.9974916444628005
"(1.01, 1.0, 1.0)",10,MLP,9990,0.502191860376817,0.34631001372275916,0.9988199563755954,0.1617457958178332,0.11279347778234622,0.9995711806334435,0.4127279718871354,0.23675084139140654,0.9977651202007906,0.23598852384367383,0.1526183733593247,0.9991235682925523
"(1.1, 1.0, 1.0)",10,Persistence,9990,5.204416391187726,4.370815288990115,0.8683174781326887,2.0130703838869435,1.5940382691473731,0.9333195733816871,3.059957288400203,2.138771555170116,0.8790812702714311,3.697317811001271,2.86124187964838,0.7925515907449476
"(1.1, 1.0, 1.0)",10,Linear Regression,9990,4.3929752480249284,3.725120267584668,0.9069005524690015,0.5100896885815223,0.40114167125960926,0.9957187209136593,2.4784881995025367,1.9488875820320497,0.9206701636992792,3.5909798501647376,2.8299496877623085,0.804312772794066
"(1.1, 1.0, 1.0)",10,Random Forest,9990,0.3645886501416681,0.25190559133401275,0.9993556236577286,0.1804924581819921,0.09496655610584201,0.9994639583070578,0.2357851532960356,0.1505608534689709,0.9992820474244062,0.21154838178702867,0.13026024064714214,0.9993208652417218
"(1.1, 1.0, 1.0)",10,MLP,9990,0.4555447255983549,0.3313551225321831,0.999038190693565,0.1669263263176513,0.12108249491175507,0.9995415097318596,0.36387777870308613,0.21796366448779905,0.9982900873829008,0.217369640862475,0.14623234503342034,0.9992829749659345
"(-5.0, 5.0, 20.0)",10,Persistence,9990,5.489386131840022,4.754185865454145,0.865405931842672,2.127810747669728,1.7371611117794412,0.927586845485578,3.222112048573616,2.31264804871734,0.8726153704847059,3.901765686580306,3.117512012333592,0.7960155795577323
"(-5.0, 5.0, 20.0)",10,Linear Regression,9990,4.641027970393181,4.0666414174351795,0.9061056867645938,0.5362150060691429,0.4336591563597048,0.9954013601567339,2.605673981645483,2.1070656408858928,0.9166940726147212,3.8029037840331825,3.1097880641276325,0.8062216275223264
"(-5.0, 5.0, 20.0)",10,Random Forest,9990,0.43943323762551795,0.3007493080173868,0.9991238006350999,0.22111405626393216,0.11523784176291486,0.9992180406555992,0.2753833360870082,0.1750337109432679,0.9990695113839301,0.26148453617402584,0.15788598922412597,0.9990838498657705
"(-5.0, 5.0, 20.0)",10,MLP,9990,0.45892705193720373,0.3586190446957418,0.999081519384506,0.18117101737206479,0.1295213197568336,0.9994750367317782,0.36657746882415193,0.2381268006742603,0.9983512026269832,0.20835561143060624,0.1562267233905281,0.9994183187947566
"(10.0, 10.0, 10.0)",10,Persistence,9990,5.659840967042447,4.943303069873084,0.8590997564089093,2.1886887781601656,1.800893055744867,0.9232781391209661,3.318952627345495,2.399135592278835,0.8655716833760256,4.028398523235278,3.2488458577304176,0.7884494467297362
"(10.0, 10.0, 10.0)",10,Linear Regression,9990,4.782327799320552,4.223855960814946,0.90230316905232,0.5510178310554711,0.4498051526789587,0.9951372447487619,2.675508764839686,2.183790940614857,0.9126422561659271,3.925390602128545,3.237050427918347,0.7991300062422709
"(10.0, 10.0, 10.0)",10,Random Forest,9990,0.41011793387557455,0.2804703613111693,0.9992578737920703,0.17626139344148936,0.10519554786534269,0.9995024170347189,0.26583570588107813,0.16949077712284535,0.9991375870304517,0.25779840640923973,0.14486432770309607,0.9991336173110403
"(10.0, 10.0, 10.0)",10,MLP,9990,0.44650366930062124,0.3653367988613353,0.9991351067252685,0.1822960852861823,0.1325388158833478,0.999467762107651,0.35225158100366405,0.23847785037773847,0.998485760555152,0.2050670321350328,0.16317848976452987,0.9994517975130022
